i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
9098,2021-08-27 13:30:00,SHORT,47178.52,48218.96,17.37920511174801,0.32,0.516,-0.00037640674472591844,2021,-0.022053256439583148,LOW
9253,2021-08-29 04:15:00,LONG,48195.91,48531.16,41.603403557040814,1.0,0.89,-0.011472506912331685,2021,0.0069559844393435035,Q3
9348,2021-08-30 04:00:00,LONG,48088.78,47947.59,46.773400211006525,0.865,0.484,-0.011227448644052862,2021,-0.0029360279050539926,Q3
9372,2021-08-30 10:00:00,LONG,47932.0,47897.43,36.263416963202296,0.12,0.33,-0.012158923869030594,2021,-0.0007212300759409102,Q2
9401,2021-08-30 17:15:00,SHORT,48128.99,48265.53,33.679827089116834,0.74,0.088,0.006377341920374664,2021,-0.0028369595954538186,Q2
9425,2021-08-30 23:15:00,SHORT,47430.5,47171.59,51.092875803341464,0.945,0.86,-0.011968841204568774,2021,0.0054587238169533,HIGH
9449,2021-08-31 05:15:00,SHORT,47208.07,47488.26,37.8798739845879,0.325,0.108,-0.011119857759664412,2021,-0.005935214042853316,Q3
9473,2021-08-31 11:15:00,SHORT,47799.0,47400.21,20.151486996824566,0.735,0.8,0.009024200410753327,2021,0.008343061570325758,LOW
9519,2021-08-31 22:45:00,LONG,47128.69,46918.66,38.358172368737954,0.365,0.678,-0.008499309475153684,2021,-0.004456521070286461,Q3
9565,2021-09-01 10:15:00,SHORT,47705.16,47590.0,22.051220442149422,0.385,0.484,0.01176371531200273,2021,0.0024139946286733656,LOW
9596,2021-09-01 18:00:00,SHORT,48880.46,48769.44,51.664905961562226,0.965,0.916,0.015373056245176115,2021,0.002271255221411517,HIGH
9621,2021-09-02 00:15:00,SHORT,48828.4,49436.12,34.39940937359212,0.555,0.824,0.01239892395656302,2021,-0.012446035503928065,Q2
9645,2021-09-02 06:15:00,SHORT,49730.32,49857.89,40.091115041074055,0.08,0.268,0.014408671679862652,2021,-0.002565235856113528,Q3
9692,2021-09-02 18:00:00,LONG,49497.96,49752.22,58.86297901573072,0.785,0.538,-0.007261131167268369,2021,0.005136777354056653,HIGH
9717,2021-09-03 00:15:00,LONG,49344.86,49509.91,31.634212721804072,0.335,0.162,-0.009257033025093512,2021,0.0033448265938945394,Q2
9741,2021-09-03 06:15:00,SHORT,49470.0,50110.0,57.34698263498891,0.785,0.176,0.007267002822770563,2021,-0.01293713361633313,HIGH
9765,2021-09-03 12:15:00,LONG,50125.8,50639.42,40.56291597408521,0.685,0.994,0.012125933311607212,2021,0.01024661950532451,Q3
9798,2021-09-03 20:30:00,LONG,50138.0,49953.15,37.72218221163441,0.19,0.338,-0.001993206953243682,2021,-0.003686824364753252,Q3
9822,2021-09-04 02:30:00,LONG,49945.89,50266.03,27.71415403423554,0.265,0.414,-0.008232841214841007,2021,0.00640973661696687,Q2
9857,2021-09-04 11:15:00,LONG,49935.23,50014.0,15.643970592033154,0.43,0.49,-0.003210034166373184,2021,0.0015774434202064714,LOW
